id,name,is_open,type,address,longitude,latitude
1,1781 Brewing Company,TRUE,Micro Brewery,"11109 Plank Rd., Spotsylvania, VA 22553-4258",-77.7188554,38.3244935
2,3 Stars Brewing Co,TRUE,Micro Brewery,"6400 Chillum Pl NW Ste B, Washington, DC 20012-2111",-77.012626,38.967491
3,Adroit Theory Brewing Company,TRUE,Micro Brewery,"404 Browning Ct Unit C, Purcellville, VA 20132-6171",-77.7201879,39.143902
4,Adventure Brewing Co,TRUE,Micro Brewery,"33 Perchwood Dr Ste 101, Fredericksburg, VA 22405-4552",-77.440554,38.384518
5,ANXO,TRUE,Micro Cidery,"300 Florida Ave NW, Washington, DC 20001",-77.015405,38.913281
6,ANXO,TRUE,Micro Cidery,"711 Kennedy St NW, Washington, DC 20011",-77.022885,38.956525
7,Aslin Beer Company,TRUE,Micro Brewery,"257 Sunset Park Drive, Herndon, VA 20170-5220",-77.374976,38.95637
8,Astro Lab Brewing,TRUE,Micro Brewery,"8216 Georgia Ave, Silver Spring, MD 20910",-77.026819,38.99213
9,Atlas Brew Works,TRUE,Micro Brewery,"2052 W Virginia Ave NE Ste 102, Washington, DC 20002-1832",-76.9814067,38.9148406
10,BadWolf Brewing Company,TRUE,Micro Brewery,"9776 Center St, Manassas, VA 20110-4128",-77.4897654,38.7535385
11,BadWolf Brewing Company,TRUE,Micro Brewery,"8420 Kao Circle, Manassas, VA 20110-1728",-77.4494003,38.7617447
12,Bardo,FALSE,Micro Brewery,"1200 Bladensburg Rd NE, Washington, DC 20002",-76.9802944,38.9056547
13,Bardo,TRUE,Micro Brewery,"25 Potomac Ave SE, Washington, DC 20003",-77.00781,38.870549
14,Barley and Hops Grill & Microbrewery,TRUE,Brewpub,"5473 Urbana Pike, Frederick, MD 21704-7275",-77.3995756,39.3820473
15,Barnhouse Brewery,TRUE,Micro Brewery,"43271 Spinks Ferry Rd., Leesburg, VA 20176-5629",-77.4967099,39.204473
16,Battlefield Brewing Co,TRUE,Brewpub,"4187 Plank Rd, Fredericksburg, VA 22407-4896",-77.5359234,38.2902319
17,Baying Hound Aleworks,TRUE,Micro Brewery,"1108 Taft St, Rockville, MD 20850-1310",-77.1354938,39.094018
18,Belly Love Brewing Company,TRUE,Brewpub,"725 E Main St., Purcellville, VA 20132-3178",-77.7038151,39.1377446
19,Beltway Brewing Company,TRUE,Micro Brewery,"22620 Davis Dr Ste 110, Sterling, VA 20164-4470",-77.4173938,38.9922329
20,Blue and Gray Brewing Co,TRUE,Brewpub,"3321 Dill Smith Dr Bowman Center, Fredericksburg, VA 22408-7319",-77.4357739,38.2168465
21,Bluejacket,TRUE,Brewpub,"300 Tingey St SE, Washington, DC 20003-4600",-77.0012686,38.8752103
22,Brewer's Alley Restaurant and Brewery,TRUE,Brewpub,"124 N Market St, Frederick, MD 21701-5422",-77.4104474,39.4160638
23,Brewer's Alley Restaurant and Brewery,TRUE,Micro Brewery,"1781 N Market St, Frederick, MD 21701-4305",-77.3991947,39.440315
24,Brewers Art / Old Line Brewery LLC,TRUE,Brewpub,"1106 N Charles St, Baltimore, MD 21201-5557",-76.6163918,39.3027614
25,Caboose Brewing Co.,TRUE,Micro Brewery,"520 Mill St NE, Vienna, VA 22180-4526",-77.2705793,38.9077323
26,Calvert Brewing Co,TRUE,Micro Brewery,"15850 Commerce Ct, Upper Marlboro, MD 20774-7437",-76.7309664,38.8863763
27,Capitol City Brewing Co - Arlington,TRUE,Micro Brewery,"4001 Campbell Ave, Arlington, VA 22206-3425",-77.088264,38.841238
28,Chocolate City Brewing Company,FALSE,Micro Brewery,"2801 8th St NE, Washington, DC 20017",-76.994757,38.925938
29,City Winery,TRUE,Winery,"1350 Okie St NE, Washington, DC 20002",-76.985832,38.914477
30,Corcoran Brewing,TRUE,Micro Brewery,"205 Hirst Rd Ste 105, Purcellville, VA 20132-6199",-77.7128791,39.1434835
31,Cotton & Reed,TRUE,Micro Distillery,"1309 5th St NE, Washington, DC 20002",-76.9973795,38.9086077
32,CraftWorks Brewery & Restaurant Group,TRUE,Brewpub,"1906 Towne Centre Blvd., Ste 155 , Annapolis, MD 21401-7410",-76.5405059,38.981842
33,CraftWorks Brewery & Restaurant Group,TRUE,Brewpub,"1000 Lancaster St Ste B, Baltimore, MD 21202-4631",-76.5993919,39.2827203
34,Crooked Run Brewing,TRUE,Micro Brewery,"205 Harrison St SE, Leesburg, VA 20175-3702",-77.5631066,39.1124213
35,DC Brau Brewing,TRUE,Micro Brewery,"3178-B Bladensburg Rd NE, Washington, DC 20018-2204",-76.9601673,38.9296431
36,Dempsey's Brew Pub and Restaurant - Baltimore,TRUE,Brewpub,"555 Russell St Ste B, Baltimore, MD 21230-2404",-76.621759,39.283334
37,Denizens Brewing Company,TRUE,Brewpub,"1115 E West Hwy, Silver Spring, MD 20910-4852",-77.0273292,38.9886346
38,Dirt Farm Brewing,TRUE,Micro Brewery,"18701 Foggy Bottom Road, Bluemont, VA 20135-1858",-77.8319099,39.09961
39,District Chophouse & Brewery,TRUE,Brewpub,"509 7th St NW, Washington, DC 20004-1600",-77.0215634,38.8965164
40,DOG Brewing Co,TRUE,Micro Brewery,"1203 New Windsor Rd, Westminster, MD 21158-6704",-77.041126,39.555824
41,Don Ciccio & Figli,FALSE,Micro Distillery,"6031 KANSAS AVE, NW WASHINGTON, DC 20011",-77.0093348,38.9630739
42,Don Ciccio & Figli,TRUE,Micro Distillery,"1907 Fairview Ave NE, Washington, DC 20002",-76.988189,38.913174
43,DuClaw Brewing Co,TRUE,Regional,"8901 Yellow Brick Rd Ste B, Baltimore, MD 21237-2303",-76.479151,39.3402079
44,Ellicott Mills Brewing Co,TRUE,Brewpub,"8308 Main St, Ellicott City, MD 21043-4601",-76.7996225,39.2681744
45,Falling Branch Brewery,TRUE,Micro Brewery,"805 Highland Rd, Street, MD 21154-1312",-76.3728353,39.6662803
46,Far Gohn Brewing,TRUE,Micro Brewery,"301 S East St, Culpeper, VA 22701-3105",-77.9950419,38.4716319
47,Fidelis Beer Company,TRUE,Micro Brewery,"Burke, VA 22015",-77.2807423,38.7843884
48,Flying Dog Brewery,TRUE,Regional,"4607 Wedgewood Blvd, Frederick, MD 21703-7120",-77.426454,39.362696
49,Forge Brew Works,TRUE,Micro Brewery,"8532 Terminal Rd Ste M, Lorton, VA 22079-1428",-77.1969303,38.7276012
50,Franklins General Store & Brewery,TRUE,Brewpub,"5121 Baltimore Ave (US Route 1), Hyattsville, MD 20781-2042",-76.940952,38.948987
51,Frey's Brewing Company,TRUE,Micro Brewery,"8601 Mapleville Rd, Mount Airy, MD 21771-9705",-77.202837,39.468591
52,Frisco Tap House & Push Brewery,TRUE,Brewpub,"6695 Dobbin Rd, Columbia, MD 21045-4755",-76.8251306,39.1858726
53,Gordon Biersch,TRUE,Brewpub,"200 E Middle Ln Unit A, Rockville, MD 20850-2206",-77.1502332,39.0853222
54,Gordon Biersch,TRUE,Brewpub,"7861 L. Chain Bridge Rd., Mc Lean, VA 22102-4515",-77.199301,38.9275202
55,Gordon Biersch,TRUE,Brewpub,"900 F St NW, Washington, DC 20004-1404",-77.0243744,38.8971064
56,Gordon Biersch,TRUE,Brewpub,"100 M St SE, Washington, DC 20003-3519",-77.0053736,38.8767926
57,Granite City Food (Corp),TRUE,Brewpub,"200 American Wy, Oxon Hill, MD 20745",-77.0145878,38.7841102
58,Greenspring Brewing Company,TRUE,Micro Brewery,"2309 Greespring Ct., Chesapeake Beach, MD 20732-4664",-76.553326,38.689243
59,Growlers Brewpub,TRUE,Brewpub,"227 E Diamond Ave, Gaithersburg, MD 20877-3015",-77.1936124,39.1419942
60,Growling Bear Brewing Company,TRUE,Brewpub,"14051 Crown Ct., Woodbridge, VA 22193",-77.310065,38.650276
61,Heavy Seas Beer,TRUE,Regional,"4615 Hollins Ferry Rd Ste B, Baltimore, MD 21227-4624",-76.6756861,39.2316272
62,Hellbender Brewing Company,TRUE,Micro Brewery,"5788 2nd St NE, Washington, DC 20011",-77.0051746,38.9600338
63,Heritage Brewing Co,TRUE,Micro Brewery,"9436 Center Point Ln, Manassas, VA 20110-1810",-77.4895437,38.752225
64,Hopkins Ordinary Ale Works,TRUE,Micro Brewery,"47 Main Street, Sperryville, VA 22740-2170",-78.2269318,38.6577448
65,Hops Grillhouse and Brewery,TRUE,Brewpub,"3625 Jefferson Davis Hwy, Alexandria, VA 22305-3133",-77.0511567,38.8375437
66,Jailbreak Brewing Company,TRUE,Micro Brewery,"9445 Washington Blvd N Ste F, Laurel, MD 20723-1380",-76.8231018,39.1241472
67,Johanssons Dining House,TRUE,Brewpub,"4 W Main St, Westminster, MD 21157-4816",-76.9956983,39.5755009
68,Jos. A. Magnus Distillery,TRUE,Micro Distillery,"2052 West Virginia Ave NE, Washington, DC 20002",-76.9814067,38.9148406
69,Key Brewing Co,TRUE,Micro Brewery,"2500 Grays Rd., Dundalk, MD 21222",-76.4627749,39.244513
70,Lost Rhino Brewing Co,TRUE,Micro Brewery,"21730 Red Rum Dr Ste 142-152, Ashburn, VA 20147-5866",-77.4755682,39.0161292
71,Loudoun Brewing Co,TRUE,Micro Brewery,"310 East Market Street, Leesburg, VA 20176-4101",-77.558997,39.112764
72,Mad Fox Brewing Co,TRUE,Brewpub,"444 W Broad St Ste I, Falls Church, VA 22046-3362",-77.1766162,38.886658
73,Mad Horse Brewpub,TRUE,Brewpub,"34 E Broad Way, Lovettsville, VA 20180-8617",-77.6359232,39.2716957
74,Mad Science Brewing Company,TRUE,Micro Brewery,"1619 Buckeystown Pike, Adamstown, MD 21710-8714",-77.4634411,39.2780438
75,Maltese Brewing Company,TRUE,Micro Brewery,"11047 Pierson Dr. Unit B, Fredericksburg, VA 22408",-77.436615,38.2607731
76,Manor Hill Brewing,TRUE,Micro Brewery,"4411 Manor Ln, Ellicott City, MD 21042-6111",-76.886718,39.250841
77,Milkhouse Brewery at Stillpoint Farm,TRUE,Micro Brewery,"8253 Dollyhyde Rd, Mount Airy, MD 21771-9404",-77.225512,39.460262
78,Mud Hound Brewing Co / MacDowell Brew Kitchen,TRUE,Brewpub,"202B Harrison St SE, Leesburg, VA 20175-3701",-77.5624333,39.1125277
79,Mully's Brewery,TRUE,Micro Brewery,"141 Schooner Ln Ste 15, Prince Frederick, MD 20678-3482",-76.647938,38.510411
80,New Columbia Distillers,TRUE,Micro Distillery,"1832 Fenwick St NE, Washington, DC 20002",-76.9843996,38.9136832
81,New District Brewing Company,TRUE,Micro Brewery,"2709 S Oakland St, Arlington, VA 22206",-77.089884,38.843715
82,Ocelot Brewing,TRUE,Micro Brewery,"23600 Overland Dr Ste 180, Sterling, VA 20166-4441",-77.4992517,38.9629988
83,Old 690 Brewing Co,TRUE,Micro Brewery,"15670 Ashbury Church Rd, Purcellville, VA 20132",-77.72646,39.183927
84,Old Bust Head Brewing Co.,TRUE,Micro Brewery,"7134 Lineweaver Rd, Warrenton, VA 20187-3949",-77.6755087,38.7439089
85,Old Ox Brewery LLC,TRUE,Micro Brewery,"44652 Guilford Dr Ste 114, Ashburn, VA 20147-6006",-77.4553148,39.0238995
86,Oliver Brewing Company,TRUE,Micro Brewery,"4216 Shannon Dr., Baltimore, MD 21213",-76.553206,39.314814
87,One Eight,TRUE,Micro Distillery,"1135 Okie St NE, Washington, DC 20002",-76.988882,38.913086
88,Ornery Beer Company,TRUE,Brewpub,"14389 Potomac Mills Rd, Woodbridge, VA 22192-6806",-77.2930204,38.6364871
89,Peabody Heights Brewery,TRUE,Micro Brewery,"401 E 30th St, Baltimore, MD 21218-3935",-76.610422,39.324338
90,Pen Druid Brewing,TRUE,Micro Brewery,"7 River Ln, Sperryville, VA 22740-2147",-78.2261389,38.6570525
91,Port City Brewing Co.,TRUE,Micro Brewery,"3950 Wheeler Ave, Alexandria, VA 22304-6409",-77.101497,38.8079629
92,Pratt Street Ale House,TRUE,Brewpub,"206 W Pratt St, Baltimore, MD 21201-2426",-76.6181,39.2866038
93,Quattro Goombas Brewery,TRUE,Micro Brewery,"22860 James Monroe Hwy, Aldie, VA 20105-1916",-77.6193759,38.984838
94,Red Bear Brewing Co,TRUE,Brewpub,"209 M St NE, Washington, DC 20002",-77.002536,38.905445
95,Red Shedman Farm Brewery,TRUE,Micro Brewery,"13601 Glissans Mill Rd, Mount Airy, MD 21771-8507",-77.1933257,39.4226921
96,Republic Restoratives,TRUE,Micro Distillery,"1369 New York Avenue NE, Washington, DC 20002",-76.985248,38.915202
97,Right Proper Brewing Company,TRUE,Brewpub,"624 T St NW, Washington, DC 20001-5119",-77.0214224,38.9154246
98,Right Proper Brewing Company,TRUE,Micro Brewery,"920 Girard St NE, Washington, DC 20017",-76.99307,38.926805
99,Rock Bottom,TRUE,Brewpub,"4238 Wilson Blvd Ste 1256, Arlington, VA 22203-4142",-77.1107695,38.8788489
100,Rock Bottom,TRUE,Brewpub,"7900 Norfolk Ave, Bethesda, MD 20814-2502",-77.0976627,38.9888493
101,Ruhlman Brewery/Our Ales,TRUE,Micro Brewery,"2280 Harvey Gummel Rd, Hampstead, MD 21074-1033",-76.910219,39.63586
102,Scorpion Brewing,TRUE,Micro Brewery,"929 Skinners Turn Rd Ste 100, Owings, MD 20736-3037",-76.6184945,38.6829922
103,Silver Branch Brewing Company,TRUE,Micro Brewery,"8401 Colesville Rd #150, Silver Spring, MD 20910",-77.031056,38.995121
104,Spencer Devon Brewing,TRUE,Brewpub,"106 George St, Fredericksburg, VA 22401-5812",-77.4585363,38.302698
105,Steinhardt Brewing Company,TRUE,Micro Brewery,"PO Box 9, Braddock Heights, MD 21714-0009",-77.5033006,39.4193076
106,Streetcar 82 Brewing Co.,TRUE,Micro Brewery,"4824 Rhode Island Ave, Hyattsville, MD 20781",-76.942916,38.949282
107,Supreme Core Cider,TRUE,Micro Cidery,"2400 T St NE, Washington, DC 20002",-76.971858,38.915691
108,Sweetwater Tavern,TRUE,Brewpub,"14250 Sweetwater Ln, Centreville, VA 20121-5336",-77.4391592,38.8292361
109,Sweetwater Tavern,TRUE,Brewpub,"3066 Gate House Plz, Falls Church, VA 22042-1028",-77.2284443,38.8665685
110,Sweetwater Tavern,TRUE,Brewpub,"45980 Waterview Plz, Sterling, VA 20166-6556",-77.4098659,39.0335209
111,The Public Option,TRUE,Micro Brewery,"1601 Rhode Island Ave NE, Washington, DC 20018",-76.9816661,38.9260968
112,Tin Cannon Brewing Company,TRUE,Micro Brewery,"7679 Limestone Dr Ste 130, Gainesville, VA 20155-4041",-77.59733,38.790468
113,Union Craft Brewing,TRUE,Micro Brewery,"1700 Union Ave Ste D, Baltimore, MD 21211-1499",-76.6434592,39.3323092
114,Vanish,TRUE,Brewpub,"42264 Black Hops Lane, Leesburg, VA 20176",-77.5374225,39.2209998
115,Waverly Brewing Company,TRUE,Micro Brewery,"1625C Union Ave, Baltimore, MD 21211-1918",-76.641318,39.331652
116,White Marsh Brewing Co/Red Brick Station,TRUE,Micro Brewery,"8149 Honeygo Blvd Ste A, Baltimore, MD 21236-8202",-76.4642648,39.371445
117,Wild Run Brewing Company,TRUE,Micro Brewery,"3071 Jefferson Davis Hwy, Stafford, VA 22554-4524",-77.3999065,38.4712592
