Longitude,Latitude,OBJECTID,NAME,GIS_ID,SSL,ADDRESS,PHONE,BFC,AMBULANCE,RESCSQUAD,MEDICUNIT,TRUCK,SPECIALTY,DETAIL,TYPE,ENGINE,BATTALION,RENSTATUS,AID,REL_UNITS,WEB_URL
-77.005147424,38.8308949941,33,Engine 33 Station,Fire_032,,101 ATLANTIC STREET SE,(202) 673-3233,0,33,0,25,8,,,Other Station,33,3,OPEN,294471,,http://app.fems.dc.gov/details.asp?cid=77
-77.049798132,38.9054942898,1,Engine 1 Station,Fire_026,0050    0822,2225 M STREET NW,(202) 673-3201,0,0,0,1,2,Twinned Agent Unit 2,,Other Station,1,6,OPEN,294540,,http://app.fems.dc.gov/details.asp?cid=45
-77.0194866944,38.8970740681,2,Engine 2 Station,Fire_022,0488    0833,500 F STREET NW,(202) 673-3202,0,0,1,0,0,"EMS 1-6, EMS 5, RS-1 Support Unit w/small boat, FCU ,FFD","EMS Supervisor 1-6, EMS Supervisor 5, Office of the Firefighting DFC, Mobile Command Unit, Rescue Squad 1, RS-1 High-angle Rescue, Swift Water Rescu",Other Station,2,6,OPEN,299998,,http://app.fems.dc.gov/details.asp?cid=46
-77.0109004284,38.8958344629,3,Engine 3 Station,Fire_035,0630 0833,439 NEW JERSEY AVENUE NW,(202) 673-3203,0,0,0,3,0,,,Other Station,3,6,OPEN,237163,,http://app.fems.dc.gov/details.asp?cid=47
-77.0250251878,38.9233965596,4,Engine 4 Station,Fire_011,2882    1036,2531 SHERMAN AVENUE NW,(202) 673-3204,0,0,0,4,0,AIR 1,"Safety Officer, Special Operations Office, Special Operations BC, Special Operations DC, Mask Room",Other Station,4,4,OPEN,232303,,http://app.fems.dc.gov/details.asp?cid=48
-77.0684358822,38.9114379353,5,Engine 5 Station,Fire_018,1277    0805,3412 DENT PLACE NW,(202) 673-3205,0,0,0,5,0,"Rehab Unit, Rehab Support Unit, CU",,Other Station,5,5,OPEN,294568,,http://app.fems.dc.gov/details.asp?cid=49
-77.0160775735,38.9076905728,6,Engine 6 Station,Fire_028,,1300 NEW JERSEY AVENUE NW,(202) 673-3206,0,6,0,0,4,,EMS Equipment Office,Other Station,6,1,OPEN,294514,,http://app.fems.dc.gov/details.asp?cid=50
-77.0112297792,38.8769286342,7,Engine 7 Station,Fire_021,,1101 HALF STREET SW,(202) 673-3207,0,7,0,0,0,,,Other Station,7,2,OPEN,277735,,http://app.fems.dc.gov/details.asp?cid=51
-76.9829435823,38.8855398578,8,Engine 8 Station,Fire_019,1073    0806,1520 C STREET SE,(202) 673-3208,2,8,0,8,0,"EMS 2, AIR 2,MEDIC UNIT 35,",Emergency Medical Supervisor 2,Other Station,8,2,OPEN,289723,,http://app.fems.dc.gov/details.asp?cid=52
-77.0375255341,38.9172964693,9,Engine 9 Station,Fire_025,0175    0826,1617 U STREET NW,(202) 673-3209,0,28,0,0,0,,,Other Station,9,4,OPEN,241846,,http://app.fems.dc.gov/details.asp?cid=53
-76.9866942002,38.901587312,10,Engine 10 Station,Fire_029,,1342 FLORIDA AVENUE NE,(202) 673-3210,0,0,0,0,13,,,Other Station,10,1,OPEN,294519,,http://app.fems.dc.gov/details.asp?cid=54
-77.0330625922,38.9322464908,11,Engine 11 Station,Fire_012,2678    0844,3420 14TH STREET NW,(202) 673-3211,4,11,0,0,6,EMS 4-5,EMS Supervisor 4-5,Other Station,11,4,OPEN,234580,,http://app.fems.dc.gov/details.asp?cid=55
-76.9991845043,38.9199135557,12,Engine 12 Station,Fire_030,,2225 5TH STREET NE,(202) 673-3212,1,12,0,12,0,"Rapid Response Non-Transport Medic 12, HazMat Unit, HazMat Support",,Other Station,12,1,OPEN,294541,,http://app.fems.dc.gov/details.asp?cid=56
-77.0082936393,38.948866305,14,Engine 14 Station,Fire_002,PAR 01240155,4801 NORTH CAPITOL STREET NE,(202) 673-3214,0,0,0,14,0,,,Other Station,14,1,OPEN,288276,,http://app.fems.dc.gov/details.asp?cid=58
-76.9860728481,38.8648654597,15,Engine 15 Station,Fire_031,,2101 14TH STREET SE,(202) 673-3215,3,15,3,15,0,"Cave-in Unit, RS-3 Support Unit w/small boat","Rescue Squad 3, RS-3 Trench/Collapse Rescue, Swift Water Rescue, HazMat Ops, Cave-in Unit Support Unit,",Other Station,15,3,OPEN,156246,,http://app.fems.dc.gov/details.asp?cid=59
-77.0300156143,38.9033106662,16,Engine 16 Station,Fire_024,,1018 13TH STREET NW,(202) 673-3216,6,16,0,0,3,,"EMS DC's and BC's Office, EMS Quality Assurance Office",Other Station,16,6,OPEN,240645,,http://app.fems.dc.gov/details.asp?cid=60
-76.9899282065,38.9323262217,17,Engine 17 Station,Fire_008,3929    0018,1227 MONROE STREET NE,(202) 673-3217,0,0,0,0,0,,,Other Station,17,1,OPEN,294510,,http://app.fems.dc.gov/details.asp?cid=61
-76.9946368389,38.8832592467,18,Engine 18 Station,Fire_020,0925    0826,414 8TH STREET SE,(202) 673-3218,0,18,0,0,7,,,Other Station,18,2,OPEN,280007,,http://app.fems.dc.gov/details.asp?cid=62
-76.9669872869,38.8715960397,19,Engine 19 Station,Fire_005,5582    0800,2813 PENNSYLVANIA AVENUE SE,(202) 673-3219,0,19,0,19,0,,,Other Station,19,3,OPEN,44167,,http://app.fems.dc.gov/details.asp?cid=63
-77.0784228279,38.9449735797,20,Engine 20 Station,Fire_016,1783    0804,4300 WISCONSIN AVENUE NW,(202) 673-3220,5,20,5,0,12,,,Other Station,20,5,OPEN,222965,,http://app.fems.dc.gov/details.asp?cid=64
-77.0422154611,38.9247711482,21,Engine 21 Station,Fire_013,2583    0063,1763 LANIER PLACE NW,(202) 673-3221,0,0,0,21,0,,,Other Station,21,5,OPEN,236004,Engine 28,http://app.fems.dc.gov/details.asp?cid=65
-77.0283387941,38.9599810774,22,Engine 22 Station,Fire_001,PAR 00870005,5760 GEORGIA AVENUE NW,(202) 673-3222,0,22,0,0,11,,,Other Station,22,4,OPEN,294612,,http://app.fems.dc.gov/details.asp?cid=66
-77.047624793,38.8985825435,23,Engine 23 Station,Fire_027,0079    0005,2119 G STREET NW,(202) 673-3223,0,23,0,0,0,,,Other Station,23,6,OPEN,242505,,http://app.fems.dc.gov/details.asp?cid=67
-77.0270322704,38.9521441971,24,Engine 24 Station,Fire_010,3002    0064,5101 GEORGIA AVENUE NW,(202) 673-3224,0,0,2,24,0,"RS-2 Support Unit w/small boat, CAR43, CAR44","RS-2 Confined Space Rescue, Swift Water Rescue, HazMat Ops, Office of the Fire Investigators",Other Station,24,4,OPEN,251752,,http://app.fems.dc.gov/details.asp?cid=68
-77.0007800734,38.8431563324,25,Engine 25 Station,Fire_003,,3203 MARTIN LUTHER KING JR AVENUE SE,(202) 673-3225,0,25,0,0,0,,,Other Station,25,3,OPEN,278344,,http://app.fems.dc.gov/details.asp?cid=69
-76.9867681808,38.9247865807,26,Engine 26 Station,Fire_009,3956    0802,1340 RHODE ISLAND AVENUE NE,(202) 673-3226,0,0,0,26,15,,,Other Station,26,1,OPEN,294518,,http://app.fems.dc.gov/details.asp?cid=70
-76.9432476906,38.9010843216,27,Engine 27 Station,Fire_007,5076    0800,4201 MINNESOTA AVENUE NE,(202) 673-3227,0,27,0,27,0,,,Other Station,27,2,OPEN,294591,,http://app.fems.dc.gov/details.asp?cid=71
-77.0594035702,38.9363447583,28,Engine 28 Station,Fire_014,2068    0809,3522 CONNECTICUT AVENUE NW,(202) 673-3228,0,0,0,0,0,,,Other Station,28,5,CLOSED,220960,,http://app.fems.dc.gov/details.asp?cid=72
-77.0935236295,38.9155650154,29,Engine 29 Station,Fire_017,1372    0808,4811 MACARTHUR BOULEVARD NW,(202) 673-3229,0,0,0,0,5,,,Other Station,29,5,OPEN,284959,,http://app.fems.dc.gov/details.asp?cid=73
-76.9333963613,38.8906950853,30,Engine 30 Station,Fire_006,5140    0810,50 49TH STREET NE,(202) 673-3230,0,30,0,30,17,,,Other Station,30,2,OPEN,156317,,http://app.fems.dc.gov/details.asp?cid=74
-77.0699102027,38.9542402107,31,Engine 31 Station,Fire_015,1983    0807,4930 CONNECTICUT AVENUE NW,(202) 673-3231,0,0,0,31,14,,,Other Station,31,5,OPEN,294604,,http://app.fems.dc.gov/details.asp?cid=75
-76.9713659115,38.8526399735,32,Engine 32 Station,Fire_004,5845    0833,2425 IRVING STREET SE,(202) 673-3232,0,32,0,0,16,EMS 3,Emergency Medical Supervisor 3,Other Station,32,3,OPEN,47304,,http://app.fems.dc.gov/details.asp?cid=76
-77.0208491767,38.8738747275,34,"Fire Boats 1, 2, and 3",Fire_033,,550 WATER STREET SW,(202) 673-3200,0,0,0,0,0,Fire Boat Support Unit,,Other Station,0,6,OPEN,294491,,http://app.fems.dc.gov/details.asp?cid=78
-77.0253664404,38.9162919794,35,HQ Fire and Emergency Medical Servic,Fire_034,,1923 VERMONT AVENUE NW,(202) 673-3320,0,0,0,0,0,,Old Grimke School,HeadQuarters,0,4,OPEN,239514,,http://app.fems.dc.gov/details.asp?cid=83
-77.0193926559,38.8836063843,13,Engine 13 Station,Fire_023,0494    0028,450 6TH STREET SW,(202) 673-3213,0,13,0,0,10,"Foam Unit 1 & 2, Twinned Agent Unit 1, Truck 10 w/135 foot ladder",,Other Station,13,6,OPEN,294488,,http://app.fems.dc.gov/details.asp?cid=57
