"Occupation","State","BirthCitizen","Immigrant","medianWage","totalPop","Immigrant_Prop","OccName"
10,"DC",5228,482,100000,5710,8,"Chief executives"
10,"MD",12274,2236,120000,14510,15,"Chief executives"
10,"VA",18957,3215,125000,22172,14,"Chief executives"
20,"DC",1954,216,67000,2170,9,"General and operations managers"
20,"MD",6438,1828,70000,8266,22,"General and operations managers"
20,"VA",8635,2368,71000,11003,21,"General and operations managers"
50,"DC",2547,161,70000,2708,5,"Marketing and sales managers"
50,"MD",7126,1110,60000,8236,13,"Marketing and sales managers"
50,"VA",11389,1885,82000,13274,14,"Marketing and sales managers"
60,"DC",2193,347,85000,2540,13,"Public relations and fundraising managers"
60,"MD",2273,197,110000,2470,7,"Public relations and fundraising managers"
60,"VA",1980,1141,80000,3121,36,"Public relations and fundraising managers"
100,"MD",2251,0,75000,2251,0,"Administrative services managers"
100,"VA",2067,556,80000,2623,21,"Administrative services managers"
110,"DC",1652,658,105000,2310,28,"Computer and information systems managers"
110,"MD",9583,2551,109000,12134,21,"Computer and information systems managers"
110,"VA",15170,3648,110000,18818,19,"Computer and information systems managers"
120,"DC",3230,577,97000,3807,15,"Financial managers"
120,"MD",9969,3702,80000,13671,27,"Financial managers"
120,"VA",12552,5750,95000,18302,31,"Financial managers"
136,"MD",4854,964,74000,5818,16,"Human resources managers"
136,"VA",7463,1741,97000,9204,18,"Human resources managers"
150,"MD",3780,1061,85000,4841,21,"Purchasing managers"
150,"VA",6022,679,105000,6701,10,"Purchasing managers"
160,"MD",3024,346,45000,3370,10,"Transportation, storage, and distribution managers"
160,"VA",2184,393,60000,2577,15,"Transportation, storage, and distribution managers"
205,"VA",2368,437,840,2805,15,"Farmers, ranchers, and other agricultural managers"
220,"MD",5937,1131,50000,7068,16,"Construction managers"
220,"VA",6957,2039,70000,8996,22,"Construction managers"
230,"DC",3536,186,66000,3722,4,"Education administrators"
230,"MD",9338,1381,64000,10719,12,"Education administrators"
230,"VA",10176,2144,63000,12320,17,"Education administrators"
300,"VA",2547,254,143000,2801,9,"Architectural and engineering managers"
310,"MD",4609,3828,35000,8437,45,"Food service managers"
310,"VA",7594,7266,34000,14860,48,"Food service managers"
350,"DC",1871,455,95000,2326,19,"Medical and health services managers"
350,"MD",5575,2070,86000,7645,27,"Medical and health services managers"
350,"VA",4327,1083,65000,5410,20,"Medical and health services managers"
410,"MD",3957,778,57000,4735,16,"Property, real estate, and community association managers"
410,"VA",5971,2114,59000,8085,26,"Property, real estate, and community association managers"
420,"DC",5956,469,80000,6425,7,"Social and community service managers"
420,"MD",6129,373,50000,6502,5,"Social and community service managers"
420,"VA",8333,1325,65000,9658,13,"Social and community service managers"
430,"DC",20165,4622,89000,24787,18,"Managers, all other"
430,"MD",57594,15565,90000,73159,21,"Managers, all other"
430,"VA",84307,20890,100000,105197,19,"Managers, all other"
530,"MD",3678,272,82000,3950,6,"Purchasing agents, except wholesale, retail, and farm products"
530,"VA",3860,1269,91000,5129,24,"Purchasing agents, except wholesale, retail, and farm products"
540,"MD",1887,351,50000,2238,15,"Claims adjusters, appraisers, examiners, and investigators"
540,"VA",2684,581,65000,3265,17,"Claims adjusters, appraisers, examiners, and investigators"
565,"MD",3255,588,81000,3843,15,"Compliance officers"
565,"VA",3207,647,110000,3854,16,"Compliance officers"
600,"VA",1691,672,40000,2363,28,"Cost estimators"
630,"DC",3076,261,57000,3337,7,"Human resources workers"
630,"MD",10192,1122,78000,11314,9,"Human resources workers"
630,"VA",15809,3112,72000,18921,16,"Human resources workers"
640,"MD",1621,390,70000,2011,19,"Compensation, benefits, and job analysis specialists"
650,"VA",2576,317,87000,2893,10,"Training and development specialists"
700,"MD",1820,602,65000,2422,24,"Logisticians"
700,"VA",3674,325,45000,3999,8,"Logisticians"
710,"DC",7900,1258,85000,9158,13,"Management analysts"
710,"MD",15410,3984,72000,19394,20,"Management analysts"
710,"VA",27664,7411,80000,35075,21,"Management analysts"
725,"MD",3858,709,42000,4567,15,"Meeting, convention, and event planners"
725,"VA",2610,916,35000,3526,25,"Meeting, convention, and event planners"
726,"VA",1842,377,38000,2219,16,"Fundraisers"
735,"VA",3508,54,45000,3562,1,"Market research analysts and marketing specialists"
740,"DC",4105,558,65000,4663,11,"Business operations specialists, all other"
740,"MD",5599,1291,65000,6890,18,"Business operations specialists, all other"
740,"VA",6605,2719,78000,9324,29,"Business operations specialists, all other"
800,"DC",3316,456,80000,3772,12,"Accountants and auditors"
800,"MD",25143,9312,60000,34455,27,"Accountants and auditors"
800,"VA",25419,12027,68000,37446,32,"Accountants and auditors"
820,"MD",2476,431,89000,2907,14,"Budget analysts"
820,"VA",2980,500,98000,3480,14,"Budget analysts"
840,"MD",3404,1116,62000,4520,24,"Financial analysts"
840,"VA",4653,1749,79000,6402,27,"Financial analysts"
850,"MD",2732,675,120000,3407,19,"Personal financial advisors"
850,"VA",4432,628,44000,5060,12,"Personal financial advisors"
910,"MD",2727,394,65000,3121,12,"Credit counselors and loan officers"
910,"VA",4685,919,60000,5604,16,"Credit counselors and loan officers"
1006,"DC",2101,407,65000,2508,16,"Computer systems analysts"
1006,"MD",7303,1904,70000,9207,20,"Computer systems analysts"
1006,"VA",14642,6317,80000,20959,30,"Computer systems analysts"
1007,"MD",2192,245,76000,2437,10,"Information security analysts"
1007,"VA",3919,255,103000,4174,6,"Information security analysts"
1010,"MD",6163,1987,86000,8150,24,"Computer programmers"
1010,"VA",4487,3294,85000,7781,42,"Computer programmers"
1020,"DC",4073,454,90000,4527,10,"Software developers, applications and systems software"
1020,"MD",15573,5329,100000,20902,25,"Software developers, applications and systems software"
1020,"VA",31820,15658,102000,47478,32,"Software developers, applications and systems software"
1030,"VA",3034,1443,68000,4477,32,"Web developers"
1050,"DC",2133,401,64000,2534,15,"Computer support specialists"
1050,"MD",9622,1774,67000,11396,15,"Computer support specialists"
1050,"VA",10017,5265,70000,15282,34,"Computer support specialists"
1060,"VA",2769,1560,94000,4329,36,"Database administrators"
1105,"MD",4294,595,80000,4889,12,"Network and computer systems administrators"
1105,"VA",4276,2327,85000,6603,35,"Network and computer systems administrators"
1106,"MD",1673,926,98000,2599,35,"Computer network architects "
1106,"VA",3253,1445,120000,4698,30,"Computer network architects "
1107,"DC",2532,97,65000,2629,3,"Computer occupations, all other"
1107,"MD",10281,2257,70000,12538,18,"Computer occupations, all other"
1107,"VA",10654,6654,85000,17308,38,"Computer occupations, all other"
1220,"DC",5388,1072,78000,6460,16,"Operations research analysts"
1220,"MD",6078,1255,92000,7333,17,"Operations research analysts"
1220,"VA",13816,1172,100000,14988,7,"Operations research analysts"
1240,"MD",2025,938,92000,2963,31,"Miscellaneous mathematical science occupations"
1240,"VA",2152,631,86000,2783,22,"Miscellaneous mathematical science occupations"
1300,"MD",2211,1135,75000,3346,33,"Architects, except naval"
1300,"VA",3349,629,70000,3978,15,"Architects, except naval"
1360,"MD",3563,2037,88000,5600,36,"Civil engineers"
1360,"VA",3798,1361,100000,5159,26,"Civil engineers"
1410,"MD",1979,876,105000,2855,30,"Electrical and electronics engineers"
1410,"VA",1912,796,105000,2708,29,"Electrical and electronics engineers"
1460,"VA",1325,989,90000,2314,42,"Mechanical engineers"
1530,"MD",7719,2530,110000,10249,24,"Engineers, all other"
1530,"VA",10832,3902,112000,14734,26,"Engineers, all other"
1550,"MD",4175,880,45000,5055,17,"Engineering technicians, except drafters"
1550,"VA",2230,1008,68000,3238,31,"Engineering technicians, except drafters"
1610,"MD",1392,914,90000,2306,39,"Biological scientists"
1610,"VA",1539,497,60000,2036,24,"Biological scientists"
1650,"MD",3467,4769,94000,8236,57,"Medical scientists"
1760,"DC",1731,1697,76000,3428,49,"Physical scientists, all other"
1760,"MD",4951,4602,93000,9553,48,"Physical scientists, all other"
1760,"VA",3613,933,76000,4546,20,"Physical scientists, all other"
1800,"DC",1716,1165,110000,2881,40,"Economists"
1800,"MD",1557,1256,102000,2813,44,"Economists"
1800,"VA",1565,1406,116000,2971,47,"Economists"
1820,"VA",2283,300,15000,2583,11,"Psychologists"
1860,"VA",2657,737,100000,3394,21,"Miscellaneous social scientists and related workers"
1965,"DC",1353,837,8000,2190,38,"Miscellaneous life, physical, and social science technicians"
1965,"MD",3534,1840,15000,5374,34,"Miscellaneous life, physical, and social science technicians"
1965,"VA",2201,173,35400,2374,7,"Miscellaneous life, physical, and social science technicians"
2000,"DC",2496,380,40000,2876,13,"Counselors"
2000,"MD",9750,2405,30000,12155,19,"Counselors"
2000,"VA",8069,1636,43000,9705,16,"Counselors"
2010,"DC",2971,117,47000,3088,3,"Social workers"
2010,"MD",8276,1107,46000,9383,11,"Social workers"
2010,"VA",4719,1218,45600,5937,20,"Social workers"
2016,"DC",1820,857,42000,2677,32,"Social and human service assistants"
2016,"MD",3277,490,52000,3767,13,"Social and human service assistants"
2040,"MD",3298,705,45000,4003,17,"Clergy"
2040,"VA",3760,805,28000,4565,17,"Clergy"
2100,"DC",19513,4168,113000,23681,17,"Lawyers"
2100,"MD",18439,1412,130000,19851,7,"Lawyers"
2100,"VA",28612,2958,135000,31570,9,"Lawyers"
2145,"DC",3661,1098,40000,4759,23,"Paralegals and legal assistants"
2145,"MD",4679,469,55000,5148,9,"Paralegals and legal assistants"
2145,"VA",5295,1656,40000,6951,23,"Paralegals and legal assistants"
2160,"DC",2702,54,50000,2756,1,"Miscellaneous legal support workers"
2160,"MD",2297,714,68000,3011,23,"Miscellaneous legal support workers"
2160,"VA",4785,2809,92000,7594,36,"Miscellaneous legal support workers"
2200,"DC",7552,1454,18000,9006,16,"Postsecondary teachers"
2200,"MD",12588,5970,30000,18558,32,"Postsecondary teachers"
2200,"VA",8989,5030,29500,14019,35,"Postsecondary teachers"
2300,"MD",5184,1316,17000,6500,20,"Preschool and kindergarten teachers"
2300,"VA",7379,3761,15000,11140,33,"Preschool and kindergarten teachers"
2310,"DC",6961,942,40000,7903,11,"Elementary and middle school teachers"
2310,"MD",39802,5370,48000,45172,11,"Elementary and middle school teachers"
2310,"VA",48977,5706,46500,54683,10,"Elementary and middle school teachers"
2320,"MD",5597,806,58000,6403,12,"Secondary school teachers"
2320,"VA",6449,568,50000,7017,8,"Secondary school teachers"
2330,"MD",1723,456,43000,2179,20,"Special education teachers"
2330,"VA",3343,327,44000,3670,8,"Special education teachers"
2340,"DC",3380,1345,6000,4725,28,"Other teachers and instructors"
2340,"MD",12754,2630,4500,15384,17,"Other teachers and instructors"
2340,"VA",10139,3731,6100,13870,26,"Other teachers and instructors"
2430,"MD",1534,1479,55000,3013,49,"Librarians"
2430,"VA",3074,1087,60000,4161,26,"Librarians"
2540,"DC",2865,568,10900,3433,16,"Teacher assistants"
2540,"MD",10248,2373,17000,12621,18,"Teacher assistants"
2540,"VA",9177,2600,13500,11777,22,"Teacher assistants"
2550,"MD",2461,713,25300,3174,22,"Other education, training, and library workers"
2550,"VA",2085,0,78000,2085,0,"Other education, training, and library workers"
2630,"DC",2401,1233,40000,3634,33,"Designers"
2630,"MD",5133,2105,26000,7238,29,"Designers"
2630,"VA",9130,2193,40000,11323,19,"Designers"
2710,"DC",1986,169,50000,2155,7,"Producers and directors"
2720,"DC",2177,34,3900,2211,1,"Athletes, coaches, umpires, and related workers"
2720,"MD",3767,571,4000,4338,13,"Athletes, coaches, umpires, and related workers"
2720,"VA",5713,1045,2000,6758,15,"Athletes, coaches, umpires, and related workers"
2750,"MD",2450,522,2400,2972,17,"Musicians, singers, and related workers"
2810,"DC",1359,1089,94000,2448,44,"News analysts, reporters and correspondents"
2810,"VA",1448,697,53000,2145,32,"News analysts, reporters and correspondents"
2825,"DC",2792,421,55000,3213,13,"Public relations specialists"
2825,"MD",1694,663,70000,2357,28,"Public relations specialists"
2825,"VA",4303,267,82000,4570,5,"Public relations specialists"
2830,"DC",3691,307,60000,3998,7,"Editors"
2830,"MD",4955,350,50000,5305,6,"Editors"
2830,"VA",4660,750,69000,5410,13,"Editors"
2840,"MD",2501,593,71000,3094,19,"Technical writers"
2840,"VA",2184,250,61000,2434,10,"Technical writers"
2850,"DC",3372,955,38000,4327,22,"Writers and authors"
2850,"MD",2322,110,63000,2432,4,"Writers and authors"
2850,"VA",5046,1271,50000,6317,20,"Writers and authors"
2860,"MD",2300,2075,26000,4375,47,"Miscellaneous media and communication workers"
2910,"VA",1895,281,150,2176,12,"Photographers"
3010,"MD",1310,1022,80000,2332,43,"Dentists"
3050,"MD",1929,1820,103000,3749,48,"Pharmacists"
3050,"VA",1913,1439,100000,3352,42,"Pharmacists"
3060,"DC",2458,892,87000,3350,26,"Physicians and surgeons"
3060,"MD",6492,3006,154000,9498,31,"Physicians and surgeons"
3060,"VA",5708,3133,165000,8841,35,"Physicians and surgeons"
3160,"MD",2069,744,75000,2813,26,"Physical therapists"
3160,"VA",2623,322,67000,2945,10,"Physical therapists"
3255,"DC",2165,262,51000,2427,10,"Registered nurses"
3255,"MD",21178,12047,60000,33225,36,"Registered nurses"
3255,"VA",18296,5536,55000,23832,23,"Registered nurses"
3300,"MD",2599,1445,45000,4044,35,"Clinical laboratory technologists and technicians"
3300,"VA",2150,1270,42000,3420,37,"Clinical laboratory technologists and technicians"
3320,"MD",2571,1410,60000,3981,35,"Diagnostic related technologists and technicians"
3320,"VA",1706,1023,50000,2729,37,"Diagnostic related technologists and technicians"
3420,"MD",4830,1340,27000,6170,21,"Health practitioner support technologists and technicians"
3420,"VA",4496,1621,25000,6117,26,"Health practitioner support technologists and technicians"
3500,"MD",4598,4301,39000,8899,48,"Licensed practical and licensed vocational nurses"
3500,"VA",3826,2956,30000,6782,43,"Licensed practical and licensed vocational nurses"
3510,"VA",1723,468,48000,2191,21,"Medical records and health information technicians"
3540,"VA",629,1566,52000,2195,71,"Other healthcare practitioners and technical occupations"
3600,"DC",3258,757,17000,4015,18,"Nursing, psychiatric, and home health aides"
3600,"MD",9220,10925,24000,20145,54,"Nursing, psychiatric, and home health aides"
3600,"VA",9213,7170,16000,16383,43,"Nursing, psychiatric, and home health aides"
3640,"MD",2112,555,25000,2667,20,"Dental assistants"
3640,"VA",2728,1281,24000,4009,31,"Dental assistants"
3645,"MD",3737,862,28200,4599,18,"Medical assistants"
3645,"VA",1636,1386,24000,3022,45,"Medical assistants"
3655,"MD",1459,608,24000,2067,29,"Healthcare support workers, all other, including medical equipment preparers"
3710,"VA",2248,0,100000,2248,0,"First-line supervisors of police and detectives"
3730,"MD",2483,80,50000,2563,3,"First-line supervisors of protective service workers, all other"
3730,"VA",2071,61,115000,2132,2,"First-line supervisors of protective service workers, all other"
3740,"MD",3260,0,65000,3260,0,"Firefighters"
3740,"VA",3397,60,70000,3457,1,"Firefighters"
